dataset,optimiser,median_mse,mean_time
Laser,rmsprop,0.0421998866405974,18.163827300071716
Laser,sgd,0.0410380656886889,18.30238511990756
Prices,adam,0.0043278542320643,14.982420339994132
Prices,cmaes,0.2620469631109022,4.9207850799895825
Prices,de,0.0470665452141688,14.289369799941777
Prices,ga,0.0403234993201125,37.00909511996433
Prices,pso,0.0359667949671929,16.313534939941018
Prices,rmsprop,0.0432743433580097,25.33634109981358
Prices,sgd,0.0416394802423228,23.963449460081755
QSAR,adam,0.0221263858997768,8.695740399882197
QSAR,cmaes,0.2460940499590759,4.390456120017916
QSAR,de,0.0224504425522596,12.522450240142643
QSAR,ga,0.0228003131112953,32.778897559922186
QSAR,pso,0.0220845654053356,14.35464922003448
QSAR,rmsprop,0.0260305187331562,12.998055620025843
QSAR,sgd,0.0254846673449788,12.531965540070086
Treasury,adam,0.0005333533823805,23.580808360036464
Treasury,cmaes,0.0931871423021302,6.665397080034017
Treasury,de,0.0931871423021302,19.874596900027246
Treasury,ga,0.0931871423021302,51.7945061000064
Treasury,pso,0.0931871423021302,22.916736399848013
Treasury,rmsprop,0.0329064721653017,38.79964318005368
Treasury,sgd,0.0333236118368616,37.26450325977057
Wine,adam,0.0192172478115284,25.5373178999871
Wine,cmaes,0.2920000000000001,5.929735400062055
Wine,de,0.2919531692253944,17.636844059918076
Wine,ga,0.0232500004842899,46.610619720071554
Wine,pso,0.0229026323287325,20.592370379902423
Wine,rmsprop,0.02298549818872,41.11085769999772
Wine,sgd,0.0229957500068738,39.39725751997903
Yacht,adam,0.0009050301834455,4.349956780206412
Yacht,cmaes,0.0567144511905363,3.6605752799659967
Yacht,de,0.0292320172108892,10.572969400044531
Yacht,ga,0.0316339794971242,26.978204259928315
Yacht,pso,0.0072955860025776,11.985445199999958
Yacht,rmsprop,0.0370431584666119,6.975576119869947
Yacht,sgd,0.0385336412887616,6.638696380052716
