mf_inputs,mf_output,lb_rmse,score,coverage_topK,rules_to_target,coverage_at_target,cum_cov_all
"(7, 6, 3, 9)",6.0,0.0,226.8955392430416,96.77744209466272,45.0,78.04632426988923,96.77744209466272
"(6, 9, 7, 8)",6.0,0.0,231.26754734539998,95.06545820745231,66.0,78.3484390735147,95.06545820745231
"(7, 3, 6, 6)",3.0,0.0,219.8338711483316,96.77744209466266,33.0,78.54984894259819,96.77744209466266
"(8, 4, 5, 4)",3.0,0.0,224.29172081492925,97.58308157099704,33.0,78.65055387714,97.58308157099704
"(8, 4, 8, 9)",9.0,0.0,227.6636922386267,94.56193353474328,61.0,78.14702920443105,94.56193353474328
"(8, 4, 4, 8)",4.0,0.0,210.20576737542652,95.97180261832828,38.0,78.14702920443099,95.97180261832828
,,,-1e+18,,,,
"(5, 4, 6, 8)",8.0,0.0,225.80420370090096,96.8781470292045,38.0,78.14702920443105,96.8781470292045
"(8, 9, 7, 6)",8.0,0.0,230.01296017671447,94.46122860020152,68.0,78.14702920443109,94.46122860020152
"(5, 6, 6, 5)",4.0,0.0,225.70887694965825,96.87814702920447,31.0,78.147029204431,96.87814702920447
"(9, 7, 7, 9)",9.0,0.0,228.63842403565766,94.15911379657605,81.0,78.14702920443099,94.15911379657605
"(3, 8, 3, 5)",9.0,0.0,226.01319675229524,98.48942598187311,27.0,78.85196374622356,98.48942598187311
"(8, 7, 5, 6)",8.0,0.0,228.9980900219272,96.37462235649545,49.0,78.4491440080564,96.37462235649545
"(9, 6, 4, 9)",8.0,0.0,224.4005880428949,94.76334340382685,55.0,78.04632426988925,94.76334340382685
"(9, 5, 9, 6)",3.0,0.0,230.81006417139758,95.2668680765358,67.0,78.04632426988925,95.2668680765358
"(8, 5, 7, 8)",9.0,0.0,227.14317542022306,94.25981873111789,57.0,78.44914400805642,94.25981873111789
"(4, 4, 3, 6)",5.0,0.0,193.36685196907314,98.79154078549848,20.0,78.24773413897282,98.79154078549848
"(4, 7, 4, 9)",5.0,0.0,227.67673409196155,97.18026183282981,42.0,78.54984894259819,97.18026183282981
"(4, 9, 7, 8)",4.0,0.0,231.31975470459253,96.07250755287018,58.0,78.04632426988925,96.07250755287018
"(8, 3, 9, 5)",5.0,0.0,227.34732752929375,96.37462235649541,53.0,78.14702920443099,96.37462235649541
"(5, 8, 9, 8)",7.0,0.0,232.7319544648877,95.26686807653587,72.0,78.34843907351468,95.26686807653587
"(5, 8, 6, 7)",6.0,0.0,230.5123288883709,96.7774420946627,51.0,78.54984894259822,96.7774420946627
"(8, 6, 5, 8)",5.0,0.0,227.18871450367402,95.36757301107754,52.0,78.3484390735146,95.36757301107754
"(3, 6, 5, 5)",4.0,0.0,225.4295358866999,98.18731117824771,26.0,78.34843907351458,98.18731117824771
"(3, 4, 5, 9)",9.0,0.0,226.41745650910946,98.38872104733139,32.0,78.04632426988923,98.38872104733139
"(5, 4, 6, 3)",5.0,0.0,219.24477552000462,98.48942598187318,27.0,79.25478348439076,98.48942598187318
"(4, 5, 7, 8)",5.0,0.0,228.16556042571767,96.47532729103732,43.0,78.54984894259819,96.47532729103732
"(4, 4, 6, 9)",5.0,0.0,226.76642448594015,97.48237663645521,37.0,78.54984894259819,97.48237663645521
"(5, 4, 8, 4)",4.0,0.0,226.1493752448183,97.38167170191345,36.0,78.14702920443102,97.38167170191345
"(9, 9, 9, 3)",5.0,0.0,234.54005511013298,95.166163141994,78.0,78.44914400805645,95.166163141994
"(9, 5, 3, 9)",4.0,0.0,226.0381982272545,96.17321248741199,51.0,78.34843907351461,96.17321248741199
"(5, 6, 7, 6)",8.0,0.0,227.799915350954,96.2739174219537,40.0,78.4491440080564,96.2739174219537
"(9, 9, 6, 3)",7.0,0.0,231.40369379701775,96.47532729103729,57.0,78.04632426988923,96.47532729103729
"(9, 5, 9, 9)",7.0,0.0,227.89545942884715,92.84994964753278,81.0,78.2477341389728,92.84994964753278
"(3, 9, 9, 5)",6.0,0.0,231.6441403709775,97.38167170191335,54.0,78.24773413897276,97.38167170191335
"(7, 5, 3, 5)",4.0,0.0,225.3803142518642,98.08660624370599,30.0,78.04632426988921,98.08660624370599
"(8, 3, 8, 6)",7.0,0.0,225.59547761662478,96.27391742195371,49.0,78.04632426988924,96.27391742195371
"(3, 9, 6, 3)",3.0,0.0,227.47720868829379,98.69083585095672,31.0,78.2477341389728,98.69083585095672
"(7, 6, 6, 4)",8.0,0.0,229.93456880720944,97.88519637462241,40.0,78.75125881168182,97.88519637462241
"(9, 6, 5, 7)",8.0,0.0,228.16490580352811,94.76334340382688,56.0,78.04632426988927,94.76334340382688
"(5, 6, 3, 5)",9.0,0.0,219.03416265280674,98.08660624370602,25.0,78.54984894259819,98.08660624370602
"(4, 5, 4, 3)",4.0,0.0,218.4171342620632,98.89224572004026,20.0,79.45619335347433,98.89224572004026
"(6, 8, 5, 3)",8.0,0.0,229.00876774286385,98.48942598187318,36.0,78.14702920443102,98.48942598187318
"(8, 9, 3, 3)",5.0,0.0,229.1450701479637,98.28801611278956,42.0,78.24773413897285,98.28801611278956
"(9, 9, 7, 9)",9.0,0.0,229.30763425960075,92.84994964753282,86.0,78.0463242698892,92.84994964753282
"(7, 5, 5, 6)",9.0,0.0,228.69379790215345,97.18026183282984,39.0,78.14702920443102,97.18026183282984
"(6, 5, 7, 6)",7.0,0.0,227.62234660385582,96.37462235649555,39.0,78.65055387714,96.37462235649555
"(7, 8, 5, 5)",7.0,0.0,230.34241166222236,96.67673716012084,50.0,78.65055387714,96.67673716012084
