dataset,optimiser,seed,train_rmse,test_rmse
airfoil,ga,8,5.518526077270508,41.53431701660156
airfoil,ga,9,7.859057426452637,9.284303665161133
airfoil,de,0,5.292531490325928,7.525102615356445
airfoil,de,1,5.308058738708496,41.57221603393555
airfoil,de,2,5.449126720428467,41.69965744018555
airfoil,de,3,5.141186714172363,6.862964153289795
airfoil,de,4,6.270460605621338,7.841180801391602
airfoil,de,5,5.715277194976807,41.865753173828125
airfoil,de,6,5.504107475280762,41.68473815917969
airfoil,de,7,5.347315788269043,8.132594108581543
airfoil,de,8,5.377745628356934,41.5069580078125
airfoil,de,9,6.426180362701416,7.430331707000732
airfoil,cmaes,0,6.190688133239746,8.915343284606934
airfoil,cmaes,1,6.154183864593506,10.517671585083008
airfoil,cmaes,2,5.915876388549805,7.879067420959473
airfoil,cmaes,3,5.809442043304443,12.184467315673828
airfoil,cmaes,4,7.12916898727417,8.490509986877441
airfoil,cmaes,5,6.353106498718262,9.72705078125
airfoil,cmaes,6,5.971111297607422,41.71485137939453
airfoil,cmaes,7,6.107480525970459,8.968524932861328
airfoil,cmaes,8,5.9575958251953125,7.689019203186035
airfoil,cmaes,9,9.162179946899414,30.729236602783203
autompg6,adam,0,2.3045685291290283,2.528259754180908
autompg6,adam,1,2.229113817214966,2.2668511867523193
autompg6,adam,2,2.3881235122680664,2.530999183654785
autompg6,adam,3,2.399165391921997,2.5791776180267334
autompg6,adam,4,2.3015799522399902,3.188798189163208
autompg6,adam,5,2.522033452987671,2.4230268001556396
autompg6,adam,6,2.458658218383789,2.3339521884918213
autompg6,adam,7,2.40570068359375,2.3268961906433105
autompg6,adam,8,2.492100477218628,2.441361427307129
autompg6,adam,9,2.4347543716430664,2.547630786895752
autompg6,sgd,0,2.7249844074249268,2.734992265701294
autompg6,sgd,1,2.6446566581726074,2.6423869132995605
autompg6,sgd,2,2.635223388671875,2.5525801181793213
autompg6,sgd,3,2.6941123008728027,2.559182643890381
autompg6,sgd,4,2.6174471378326416,2.577126979827881
autompg6,sgd,5,2.579592704772949,2.5281193256378174
autompg6,sgd,6,2.681610584259033,2.385504961013794
autompg6,sgd,7,2.607027053833008,2.5526838302612305
autompg6,sgd,8,2.6360855102539062,2.5135304927825928
autompg6,sgd,9,2.642202138900757,2.653264284133911
autompg6,rmsprop,0,2.7130706310272217,2.676470994949341
autompg6,rmsprop,1,2.6527788639068604,2.542145252227783
autompg6,rmsprop,2,2.622708320617676,2.5451388359069824
autompg6,rmsprop,3,2.6698901653289795,2.5936036109924316
autompg6,rmsprop,4,2.6168160438537598,2.515087127685547
autompg6,rmsprop,5,2.6000452041625977,2.4465744495391846
autompg6,rmsprop,6,2.671821355819702,2.3793346881866455
autompg6,rmsprop,7,2.667616844177246,2.572553873062134
autompg6,rmsprop,8,2.666830539703369,2.53079891204834
autompg6,rmsprop,9,2.632628917694092,2.5921096801757812
autompg6,pso,0,2.753342628479004,2.866560220718384
autompg6,pso,1,2.7650818824768066,2.675835609436035
autompg6,pso,2,2.7527122497558594,2.656649351119995
autompg6,pso,3,2.7769482135772705,2.6472699642181396
autompg6,pso,4,2.8615598678588867,2.7736053466796875
autompg6,pso,5,2.8377163410186768,2.6455910205841064
autompg6,pso,6,2.8041489124298096,2.6275577545166016
autompg6,pso,7,2.8949029445648193,2.827960968017578
autompg6,pso,8,2.821767807006836,2.728658437728882
autompg6,pso,9,2.7089977264404297,2.9176201820373535
autompg6,ga,0,2.9914374351501465,2.9020497798919678
autompg6,ga,1,3.17879056930542,2.8427584171295166
