dataset,optimiser,initialisation,seed,test_mse
Energy,rmsprop,heuristic,3,0.08078816382828578
Energy,rmsprop,heuristic,4,0.08070527668841729
Energy,sgd,casp_single,0,0.06795525214900745
Energy,sgd,casp_single,1,0.06798120017893473
Energy,sgd,casp_single,2,0.06792310273822551
Energy,sgd,casp_single,3,0.06790892432236631
Energy,sgd,casp_single,4,0.06785481816508315
Energy,rmsprop,casp_single,0,0.07893464110958967
Energy,rmsprop,casp_single,1,0.07904501679686436
Energy,rmsprop,casp_single,2,0.0784828599960596
Energy,rmsprop,casp_single,3,0.07856344002253376
Energy,rmsprop,casp_single,4,0.07868593117848534
Energy,sgd,casp_adapt,0,0.07161499838894572
Energy,sgd,casp_adapt,1,0.07158132497781773
Energy,sgd,casp_adapt,2,0.07160072113858171
Energy,sgd,casp_adapt,3,0.07151025375609936
Energy,sgd,casp_adapt,4,0.07154305052535066
Energy,rmsprop,casp_adapt,0,0.07850566068866915
Energy,rmsprop,casp_adapt,1,0.07824216129198641
Energy,rmsprop,casp_adapt,2,0.07824197651675945
Energy,rmsprop,casp_adapt,3,0.07837599974694594
Energy,rmsprop,casp_adapt,4,0.0783941192725537
Energy,sgd,random_gauss,0,0.08050057714810128
Energy,sgd,random_gauss,1,0.0754644148501335
Energy,sgd,random_gauss,2,0.06678633652759032
Energy,sgd,random_gauss,3,0.08161207143271051
Energy,sgd,random_gauss,4,0.08556519720070141
Energy,rmsprop,random_gauss,0,0.08022718127879595
Energy,rmsprop,random_gauss,1,0.07964367481241692
Energy,rmsprop,random_gauss,2,0.08856207604456008
Energy,rmsprop,random_gauss,3,0.07956833067824517
Energy,rmsprop,random_gauss,4,0.08060670558655283
Energy,sgd,kmeans_mf,0,0.07348900645666609
Energy,sgd,kmeans_mf,1,0.0707747779258173
Energy,sgd,kmeans_mf,2,0.07137404619711997
Energy,sgd,kmeans_mf,3,0.07115134081407141
Energy,sgd,kmeans_mf,4,0.07084216913960224
Energy,rmsprop,kmeans_mf,0,0.07985271665123658
Energy,rmsprop,kmeans_mf,1,0.07956078812093571
Energy,rmsprop,kmeans_mf,2,0.0786198515530604
Energy,rmsprop,kmeans_mf,3,0.07853108708519882
Energy,rmsprop,kmeans_mf,4,0.0789721722936074
QSAR,sgd,heuristic,0,0.025528857232928786
QSAR,sgd,heuristic,1,0.025514389929948585
QSAR,sgd,heuristic,2,0.02547616601996702
QSAR,sgd,heuristic,3,0.025454905235680256
QSAR,sgd,heuristic,4,0.025484667344978822
QSAR,rmsprop,heuristic,0,0.026005172498701618
QSAR,rmsprop,heuristic,1,0.02605208878109537
QSAR,rmsprop,heuristic,2,0.026036063307356052
QSAR,rmsprop,heuristic,3,0.026030518733156247
QSAR,rmsprop,heuristic,4,0.025973740396403124
QSAR,sgd,casp_single,0,0.025868571132947348
QSAR,sgd,casp_single,1,0.02587000095666205
QSAR,sgd,casp_single,2,0.025865415785322456
QSAR,sgd,casp_single,3,0.025866499826440566
QSAR,sgd,casp_single,4,0.025862405296399313
QSAR,rmsprop,casp_single,0,0.025924857966194627
QSAR,rmsprop,casp_single,1,0.02592141575896024
QSAR,rmsprop,casp_single,2,0.025914579374799497
QSAR,rmsprop,casp_single,3,0.025920275207257443
QSAR,rmsprop,casp_single,4,0.02590197019465989
QSAR,sgd,casp_adapt,0,0.025633697728894574
QSAR,sgd,casp_adapt,1,0.025634182691251724
QSAR,sgd,casp_adapt,2,0.025633383723495436
QSAR,sgd,casp_adapt,3,0.025633884924637043
QSAR,sgd,casp_adapt,4,0.02563269191831559
QSAR,rmsprop,casp_adapt,0,0.025948794495808756
QSAR,rmsprop,casp_adapt,1,0.025954706903048744
QSAR,rmsprop,casp_adapt,2,0.02593652853855123
QSAR,rmsprop,casp_adapt,3,0.025959254701801306
QSAR,rmsprop,casp_adapt,4,0.02593560321216988
QSAR,sgd,random_gauss,0,0.02643821881381175
QSAR,sgd,random_gauss,1,0.02601698573635533
QSAR,sgd,random_gauss,2,0.02604671146332399
QSAR,sgd,random_gauss,3,0.02596561050265541
QSAR,sgd,random_gauss,4,0.026396346763881157
QSAR,rmsprop,random_gauss,0,0.02604049125632396
QSAR,rmsprop,random_gauss,1,0.02495774790039048
QSAR,rmsprop,random_gauss,2,0.026082474816004647
QSAR,rmsprop,random_gauss,3,0.026271244762290237
QSAR,rmsprop,random_gauss,4,0.02633702005535515
QSAR,sgd,kmeans_mf,0,0.025699054184424773
QSAR,sgd,kmeans_mf,1,0.025689935435421016
QSAR,sgd,kmeans_mf,2,0.025661307997074632
QSAR,sgd,kmeans_mf,3,0.025611854583623046
QSAR,sgd,kmeans_mf,4,0.025745786967345318
QSAR,rmsprop,kmeans_mf,0,0.026093662842796714
QSAR,rmsprop,kmeans_mf,1,0.02612927644841343
QSAR,rmsprop,kmeans_mf,2,0.026158259017207048
QSAR,rmsprop,kmeans_mf,3,0.02607020179529925
QSAR,rmsprop,kmeans_mf,4,0.026046970383178686
Treasury,sgd,heuristic,0,0.0328230704280134
Treasury,sgd,heuristic,1,0.03332361183686167
Treasury,sgd,heuristic,2,0.03263357888659281
Treasury,sgd,heuristic,3,0.03364997606049028
Treasury,sgd,heuristic,4,0.03387561350696984
Treasury,rmsprop,heuristic,0,0.03280945130764266
Treasury,rmsprop,heuristic,1,0.032906472165301785
Treasury,rmsprop,heuristic,2,0.032956075069727565
Treasury,rmsprop,heuristic,3,0.03275473279686693
Treasury,rmsprop,heuristic,4,0.033100630585328285
Treasury,sgd,casp_single,0,0.03461326567687304
Treasury,sgd,casp_single,1,0.03460404837355347
Treasury,sgd,casp_single,2,0.03461577698932458
Treasury,sgd,casp_single,3,0.034641449180579514
Treasury,sgd,casp_single,4,0.03463336166236035
Treasury,rmsprop,casp_single,0,0.034533173536675364
Treasury,rmsprop,casp_single,1,0.03455965617557093
Treasury,rmsprop,casp_single,2,0.03470107725820179
Treasury,rmsprop,casp_single,3,0.03484853814608316
Treasury,rmsprop,casp_single,4,0.034066167307884324
Treasury,sgd,casp_adapt,0,0.03230470843449263
Treasury,sgd,casp_adapt,1,0.03206675471443915
Treasury,sgd,casp_adapt,2,0.032345443822121074
Treasury,sgd,casp_adapt,3,0.03242508232325305
Treasury,sgd,casp_adapt,4,0.03225278089869464
Treasury,rmsprop,casp_adapt,0,0.034313137179509186
Treasury,rmsprop,casp_adapt,1,0.03387825622432664
Treasury,rmsprop,casp_adapt,2,0.03398600294464385
Treasury,rmsprop,casp_adapt,3,0.034171861061070126
Treasury,rmsprop,casp_adapt,4,0.03407084527521961
Treasury,sgd,random_gauss,0,0.03477442293242442
Treasury,sgd,random_gauss,1,0.033596701742716784
Treasury,sgd,random_gauss,2,0.03396300004610229
Treasury,sgd,random_gauss,3,0.1010340991280578
Treasury,sgd,random_gauss,4,0.03418956063179628
Treasury,rmsprop,random_gauss,0,0.0330294112175674
Treasury,rmsprop,random_gauss,1,0.033346873719466964
Treasury,rmsprop,random_gauss,2,0.03448226548147161
Treasury,rmsprop,random_gauss,3,0.09029647724588456
Treasury,rmsprop,random_gauss,4,0.032026453807996756
Treasury,sgd,kmeans_mf,0,0.03277498872190356
Treasury,sgd,kmeans_mf,1,0.03247987177021257
Treasury,sgd,kmeans_mf,2,0.03196889646869428
Treasury,sgd,kmeans_mf,3,0.03292569787643704
Treasury,sgd,kmeans_mf,4,0.0329533353523514
Treasury,rmsprop,kmeans_mf,0,0.03302519960551653
Treasury,rmsprop,kmeans_mf,1,0.03293790419172554
Treasury,rmsprop,kmeans_mf,2,0.033136362868870825
Treasury,rmsprop,kmeans_mf,3,0.03349560090838079
Treasury,rmsprop,kmeans_mf,4,0.03334521083775803
Yacht,sgd,heuristic,0,0.038533791909868796
Yacht,sgd,heuristic,1,0.03860252032971835
Yacht,sgd,heuristic,2,0.038248569093448516
Yacht,sgd,heuristic,3,0.03866489589023042
Yacht,sgd,heuristic,4,0.03831353666359938
Yacht,rmsprop,heuristic,0,0.036859743965692936
Yacht,rmsprop,heuristic,1,0.03722695518669713
Yacht,rmsprop,heuristic,2,0.03684416936447268
Yacht,rmsprop,heuristic,3,0.037043158466611915
Yacht,rmsprop,heuristic,4,0.037058877307650645
Yacht,sgd,casp_single,0,0.03624129987203956
Yacht,sgd,casp_single,1,0.036109663452200215
Yacht,sgd,casp_single,2,0.03624008127801732
Yacht,sgd,casp_single,3,0.03628740148996071
Yacht,sgd,casp_single,4,0.03622424185582686
Yacht,rmsprop,casp_single,0,0.06535577686186549
Yacht,rmsprop,casp_single,1,0.06522569199937663
Yacht,rmsprop,casp_single,2,0.06544153017448312
Yacht,rmsprop,casp_single,3,0.06553508325188993
Yacht,rmsprop,casp_single,4,0.06535665844887381
Yacht,sgd,casp_adapt,0,0.09806057633705494
Yacht,sgd,casp_adapt,1,0.09800519731933299
Yacht,sgd,casp_adapt,2,0.09804620372471856
Yacht,sgd,casp_adapt,3,0.0982477545850814
Yacht,sgd,casp_adapt,4,0.09817765777923808
Yacht,rmsprop,casp_adapt,0,0.08619727141685042
Yacht,rmsprop,casp_adapt,1,0.08614612175919709
Yacht,rmsprop,casp_adapt,2,0.0859434986919475
Yacht,rmsprop,casp_adapt,3,0.08633917131847053
Yacht,rmsprop,casp_adapt,4,0.08604188300392401
Yacht,sgd,random_gauss,0,0.03811764851635841
Yacht,sgd,random_gauss,1,0.037962560425500995
Yacht,sgd,random_gauss,2,0.03795963484553168
Yacht,sgd,random_gauss,3,0.03829410353940297
Yacht,sgd,random_gauss,4,0.037923123399389594
Yacht,rmsprop,random_gauss,0,0.03789719421203355
Yacht,rmsprop,random_gauss,1,0.0272502772373764
Yacht,rmsprop,random_gauss,2,0.037531931844690114
Yacht,rmsprop,random_gauss,3,0.03822809330407075
Yacht,rmsprop,random_gauss,4,0.03818006712602849
Yacht,sgd,kmeans_mf,0,0.038339151218464484
Yacht,sgd,kmeans_mf,1,0.03850837588304747
Yacht,sgd,kmeans_mf,2,0.038266678661276074
Yacht,sgd,kmeans_mf,3,0.03850312403809635
Yacht,sgd,kmeans_mf,4,0.03830505801812745
Yacht,rmsprop,kmeans_mf,0,0.038509509322872074
Yacht,rmsprop,kmeans_mf,1,0.038433479153095626
Yacht,rmsprop,kmeans_mf,2,0.0384766323734601
Yacht,rmsprop,kmeans_mf,3,0.03846282053671474
Yacht,rmsprop,kmeans_mf,4,0.038518422502425965
Baseball,sgd,heuristic,0,0.05200745044727901
Baseball,sgd,heuristic,1,0.05194054512314043
Baseball,sgd,heuristic,2,0.05183331097842087
Baseball,sgd,heuristic,3,0.051988086431022984
Baseball,sgd,heuristic,4,0.0519802728408307
Baseball,rmsprop,heuristic,0,0.051499415083632025
Baseball,rmsprop,heuristic,1,0.05167256416328854
Baseball,rmsprop,heuristic,2,0.05099260663833791
Baseball,rmsprop,heuristic,3,0.05156957781071874
Baseball,rmsprop,heuristic,4,0.05158337385083492
Baseball,sgd,casp_single,0,0.06941765122923525
Baseball,sgd,casp_single,1,0.06942192453377165
Baseball,sgd,casp_single,2,0.0694114774494557
Baseball,sgd,casp_single,3,0.06940634070526921
Baseball,sgd,casp_single,4,0.06943032454446882
Baseball,rmsprop,casp_single,0,0.05197423364792582
Baseball,rmsprop,casp_single,1,0.051959867598220466
Baseball,rmsprop,casp_single,2,0.051953689458731904
Baseball,rmsprop,casp_single,3,0.05195006492650849
Baseball,rmsprop,casp_single,4,0.05197679621496852
Baseball,sgd,casp_adapt,0,0.05194237852910274
Baseball,sgd,casp_adapt,1,0.05195053007085253
Baseball,sgd,casp_adapt,2,0.051938873907548894
Baseball,sgd,casp_adapt,3,0.05193467655919024
Baseball,sgd,casp_adapt,4,0.051955105515751165
Baseball,rmsprop,casp_adapt,0,0.0520781225327699
Baseball,rmsprop,casp_adapt,1,0.05216890749569087
Baseball,rmsprop,casp_adapt,2,0.051744207755254575
Baseball,rmsprop,casp_adapt,3,0.052198835264696916
Baseball,rmsprop,casp_adapt,4,0.051907725316010365
Baseball,sgd,random_gauss,0,0.05102571866919581
Baseball,sgd,random_gauss,1,0.23721425001930857
Baseball,sgd,random_gauss,2,0.05085464965286223
Baseball,sgd,random_gauss,3,0.04978836510985931
Baseball,sgd,random_gauss,4,0.051967901033650385
Baseball,rmsprop,random_gauss,0,0.056399286213953743
Baseball,rmsprop,random_gauss,1,0.05690298507462686
Baseball,rmsprop,random_gauss,2,0.05175033982323898
Baseball,rmsprop,random_gauss,3,0.05219173554087216
Baseball,rmsprop,random_gauss,4,0.051983533944305986
Baseball,sgd,kmeans_mf,0,0.051018469876392816
Baseball,sgd,kmeans_mf,1,0.050875775449325984
Baseball,sgd,kmeans_mf,2,0.050550782178119126
Baseball,sgd,kmeans_mf,3,0.05083067572748875
Baseball,sgd,kmeans_mf,4,0.05085353244278453
Baseball,rmsprop,kmeans_mf,0,0.05186757998854688
Baseball,rmsprop,kmeans_mf,1,0.05182688960064553
Baseball,rmsprop,kmeans_mf,2,0.051807005699207515
Baseball,rmsprop,kmeans_mf,3,0.051848660867358884
Baseball,rmsprop,kmeans_mf,4,0.05183862412546706
Ankara,sgd,heuristic,0,0.04745437192447727
Ankara,sgd,heuristic,1,0.047383868935214714
Ankara,sgd,heuristic,2,0.04741984977237858
Ankara,sgd,heuristic,3,0.047489117242215745
Ankara,sgd,heuristic,4,0.04735605349481819
Ankara,rmsprop,heuristic,0,0.049668889267640626
Ankara,rmsprop,heuristic,1,0.049774748928972386
Ankara,rmsprop,heuristic,2,0.04998000511063298
Ankara,rmsprop,heuristic,3,0.049805818349390914
Ankara,rmsprop,heuristic,4,0.049763828065461736
Ankara,sgd,casp_single,0,0.04801561909369517
